date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:24	85309/85309	---M--	200	added ('OK')	image/jpeg	etag:%2214d3d-50d3294d3fd00%22	http://maze.umbrella.al/wp-content/uploads/2015/01/a-760x570.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/a-760x570.jpg	(from http://maze.umbrella.al/)
12:15:26	14792/14792	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:27%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck-3/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck-3/index.html	(from http://maze.umbrella.al/)
12:15:30	21469/21469	---M--	200	added ('OK')	image/jpeg	etag:%2253dd-50d9195d904c0%22	http://maze.umbrella.al/wp-content/uploads/2015/01/ee.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/ee.jpg	(from http://maze.umbrella.al/)
12:15:31	14793/14793	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:33%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck-2/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck-2/index.html	(from http://maze.umbrella.al/)
12:15:37	29059/29059	---M--	200	added ('OK')	image/jpeg	etag:%227183-50d3219354280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/1-400x400.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/1-400x400.jpg	(from http://maze.umbrella.al/)
12:15:38	14784/14784	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:40%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck-5/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck-5/index.html	(from http://maze.umbrella.al/)
12:15:46	45143/45143	---M--	200	added ('OK')	image/jpeg	etag:%22b057-50d3219354280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/1-600x500.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/1-600x500.jpg	(from http://maze.umbrella.al/)
12:15:47	14802/14802	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:49%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck-7/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck-7/index.html	(from http://maze.umbrella.al/)
12:15:49	289694/289694	---M--	200	added ('OK')	image/png	etag:%2246b9e-50d3299f43e80%22	http://maze.umbrella.al/wp-content/uploads/2015/01/b-760x568.png	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/b-760x568.png	(from http://maze.umbrella.al/)
12:15:50	19898/19898	---M--	200	added ('OK')	image/jpeg	etag:%224dba-50d3219354280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/2-400x400.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/2-400x400.jpg	(from http://maze.umbrella.al/)
12:15:55	31129/31129	---M--	200	added ('OK')	image/jpeg	etag:%227999-50d3219354280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/2-600x500.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/2-600x500.jpg	(from http://maze.umbrella.al/)
12:15:55	27429/27429	---M--	200	added ('OK')	image/jpeg	etag:%226b25-50d3219354280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/3-400x400.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/3-400x400.jpg	(from http://maze.umbrella.al/)
12:16:01	482124/482124	---M--	200	added ('OK')	image/svg+xml	etag:%2275b4c-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/images/map.svg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/images/map.svg	(from http://maze.umbrella.al/)
12:16:02	17011/17011	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:46:04%20GMT	http://maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-4/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-4/index.html	(from http://maze.umbrella.al/)
12:16:07	482124/482124	---M--	200	added ('OK')	image/svg+xml	etag:%2275b4c-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/images/map-dark.svg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/images/map-dark.svg	(from http://maze.umbrella.al/)
12:16:08	17164/17164	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:46:10%20GMT	http://maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-3/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-3/index.html	(from http://maze.umbrella.al/)
12:16:09	41005/41005	---M--	200	added ('OK')	image/jpeg	etag:%22a02d-50d32194484c0%22	http://maze.umbrella.al/wp-content/uploads/2015/01/3-600x500.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/3-600x500.jpg	(from http://maze.umbrella.al/)
12:16:09	1078/1078	---M-Z	200	added ('OK')	application/javascript	etag:%22436-524d577143400%22	http://maze.umbrella.al/wp-includes/js/comment-reply.min.js?ver=4.8	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-includes/js/comment-reply.minef15.js	(from http://maze.umbrella.al/)
12:16:10	17164/17164	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:46:11%20GMT	http://maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-2/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history-2/index.html	(from http://maze.umbrella.al/)
12:16:10	795/795	---M-Z	200	added ('OK')	application/javascript	etag:%2231b-54f59e6b72840%22	http://maze.umbrella.al/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=4.8	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-includes/js/mediaelement/wp-mediaelement.minef15.js	(from http://maze.umbrella.al/)
12:16:12	17027/17027	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:46:13%20GMT	http://maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/2015/01/22/letting-go-of-things-and-history/index.html	(from http://maze.umbrella.al/)
12:16:13	82625/82625	---MCZ	200	added ('OK')	application/javascript	etag:%22142c1-537e6dccd4880%22	http://maze.umbrella.al/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=2.22.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-includes/js/mediaelement/mediaelement-and-player.min51cd.js	(from http://maze.umbrella.al/)
12:16:14	1398/1398	---M-Z	200	added ('OK')	application/javascript	etag:%22576-541f8014be840%22	http://maze.umbrella.al/wp-includes/js/wp-embed.min.js?ver=4.8	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-includes/js/wp-embed.minef15.js	(from http://maze.umbrella.al/)
12:16:19	22449/22449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257b1-52e588fac8080%22	http://maze.umbrella.al/wp-includes/fonts/dashicons.eot	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-includes/fonts/dashicons.eot	(from http://maze.umbrella.al/wp-includes/css/dashicons.min.css?ver=4.8)
